,cluster_id,x,y,count,frequent_words
43,43,-6.07668924331665,6.35150146484375,1456,"services, home, improvement"
44,44,-4.634857654571533,7.281554222106934,3886,"services, business"
45,45,-3.1666958332061768,6.878339767456055,2243,"energy, technology, consumer"
46,46,-8.317821502685549,3.529853343963623,1482,"services, professional, business"
47,47,-5.689451694488525,3.4221618175506587,1487,"hobbies, co, 5"
48,48,-7.781018733978271,3.1757478713989262,926,"government, community, religious"
49,49,-9.40218448638916,5.735825538635254,1690,"social, food, dining"
50,50,-6.514973640441895,8.991986274719238,2777,"services, gas"
51,51,-8.306961059570312,6.907817840576173,1079,"services, beauty, care"
52,52,-5.951432704925537,7.967821598052978,2804,"direct, advertising"
53,53,-8.152501106262207,8.428544998168945,1333,"government, community, departments"
54,54,-3.2120306491851807,8.20466136932373,945,"insurance, agents, brokers"
55,55,-6.979635238647461,6.337186336517334,2317,"building, paint, construction"
56,56,-9.259510040283203,5.887913703918457,1220,"restaurants, bars, eating"
57,57,-9.239603042602539,5.973208904266357,511,"wine, beer, spirits"
58,58,-2.2990472316741943,6.315722942352295,667,"services, business, associates"
59,59,-5.523609638214111,3.1123063564300537,2208,"services, other, government"
60,60,-5.346915721893311,9.462640762329102,1289,"media, management"
61,61,-7.1648712158203125,6.841056346893311,3860,"transportation, gas, stations"
62,62,-1.7595138549804688,7.545681476593018,650,"electrical, work, contractor"
63,63,-3.809133052825928,2.6198532581329346,2170,"services, software, internet"
64,64,-7.074389934539795,5.5326499938964835,1947,"construction, building, home"
65,65,-7.59583854675293,4.461249351501465,1527,"construction, building, home"
66,66,-9.221121788024902,5.025428771972656,1234,"restaurants, social, food"
67,67,-3.482414960861206,9.451996803283693,337,"corp, services, software"
68,68,-5.992542743682861,7.336903095245361,3257,"services, business, other"
69,69,-6.439777374267577,7.9260501861572275,2638,"energy, tourism"
70,70,-6.5797786712646475,6.595652103424072,1286,"plumbing, heating, air"
71,71,-9.912949562072754,4.022459983825684,1338,"travel, hotels, lodging"
72,72,-3.0551462173461914,4.740920543670653,667,"services, businesses, insurance"
73,73,-3.281592607498169,8.37584114074707,715,"mortgage, ficial, brokers"
74,74,-4.807969570159912,6.276724338531494,1889,"software, mobile, health"
75,75,-8.455427169799805,4.658888339996338,1377,"stores, shopping, retail"
76,76,-7.758096694946289,10.39105224609375,1106,"healthcare, physicians, dentists"
77,77,-5.2149271965026855,9.759578704833984,2182,"services, insurance, real"
78,78,-6.225310802459718,6.48610782623291,1192,"software, services, voice"
79,79,-7.037884712219237,7.375990390777588,3558,"travel, leisure, transportation"
80,80,-5.706473350524902,7.166378498077393,2996,"gas, transportation, stations"
81,81,-8.317532539367676,8.498265266418457,1230,"organizations, associations, community"
82,82,-5.94733476638794,8.124998092651367,2385,"software, enterprise, mobile"
83,83,-7.196049690246582,2.8024401664733887,1842,"services, business, other"
84,84,-7.460524082183838,7.575905799865723,936,"farm, agriculture, general"
85,85,-7.030216693878174,4.071237087249757,2071,"ardyss, 5, 2047"
86,86,-5.610361099243164,5.869168281555176,2126,"services, healthcare"
87,87,-6.035313606262207,7.048089027404785,3916,"services, other"
88,88,-3.3613028526306152,5.640838623046875,2113,"services, businesses, business"
89,89,-4.095702648162842,5.365183830261231,3112,"services, business, businesses"
90,90,-5.130711078643799,10.222556114196776,1555,"services, insurance"
91,91,-7.18241548538208,3.739140033721924,1994,"building, services, construction"
92,92,-5.82412576675415,7.959242820739746,3813,"information, software, management"
93,93,-7.854178428649902,10.651745796203613,1068,"healthcare, clinics, physicians"
94,94,-2.7217187881469727,7.48199987411499,607,"real, estate, nonresidential"
95,95,-6.619128227233888,7.809175968170166,3327,"software, information, enterprise"
96,96,-9.640149116516113,8.046411514282228,649,"education, school, community"
97,97,-7.666146755218506,10.53199577331543,1227,"healthcare, physicians, dentists"
98,98,-9.650585174560547,3.905005693435669,510,"travel, hotels, motels"
99,99,-7.351255893707275,3.2666053771972656,2206,"services, postal"
